Section,Commodity,Metric,Value,Rank,Details
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",All Other Canada Pacific Region Ports -> Port of Long Beach,1.58M,52,"26 shipments | $65,136,003"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",Auld's Cove -> Tampa,1.45M,215,"26 shipments | $1,154,577,000"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",All Other Viet Nam Ports -> Port of Stockton,1.39M,181,"47 shipments | $137,926,600"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",Goderich -> THE PORT OF MILWAUKEE,1.31M,371,"92 shipments | $42,678,340"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",All Other Turkey Mediterranean Region Ports -> Houston,1.23M,155,"34 shipments | $118,701,000"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",Ad Dammam -> Houston,1.20M,2,"27 shipments | $121,651,000"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",Auld's Cove -> Port Manatee,1.16M,213,"23 shipments | $901,865,000"
,,,,,
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Martin Marietta,5.31M,223,6.4% market share | 105 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Orca Sand And Gravel Ltd.,5.29M,256,6.4% market share | 180 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Ternium,4.06M,335,4.9% market share | 83 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Bahama Rock Ltd.,3.58M,36,4.3% market share | 99 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Compass Minerals Canada,3.56M,72,4.3% market share | 215 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Emirates Aluminium (EGA),3.45M,105,4.2% market share | 168 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Medcem Global Pazarlama A.S.,2.27M,225,2.7% market share | 67 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Grupo Minero Del Mar De Cortes,2.10M,134,2.5% market share | 77 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Arcelormittal Brasil S.A.,2.00M,25,2.4% market share | 72 shipments
TOP_SHIPPERS,"Aggregates & Stone (HS25, HS68)",Compania Minera,1.88M,70,2.3% market share | 35 shipments
,,,,,
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Martin Marietta,8.48M,292,10.2% market share | 190 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Emirates Aluminium (EGA),6.42M,165,7.7% market share | 235 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Ternium,4.80M,444,5.8% market share | 105 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Compass Minerals America,3.29M,123,4.0% market share | 197 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Vulcan Materials,3.11M,483,3.8% market share | 65 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Cemex Construction Materials,2.36M,96,2.8% market share | 134 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Glacier Northwest Inc.,2.08M,193,2.5% market share | 79 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Houston Cement Co.,2.05M,226,2.5% market share | 44 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Sesco Cement Corp.,1.88M,402,2.3% market share | 101 shipments
TOP_CONSIGNEES,"Aggregates & Stone (HS25, HS68)",Mosaic,1.73M,313,2.1% market share | 29 shipments
,,,,,
HS_CODES,"Aggregates & Stone (HS25, HS68)",HS68,44.15M,,"53.2% of tonnage | 2,190.0 shipments"
HS_CODES,"Aggregates & Stone (HS25, HS68)",HS25,38.90M,,"46.8% of tonnage | 2,412.0 shipments"
,,,,,
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Canada,29.28M,9,"35.3% of tonnage | 1,544 shipments"
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Turkey,8.88M,54,10.7% of tonnage | 347 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Brazil,8.45M,7,10.2% of tonnage | 278 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Vietnam,5.28M,58,6.4% of tonnage | 201 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Mexico,4.78M,35,5.8% of tonnage | 334 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Bahamas,3.68M,4,4.4% of tonnage | 174 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Spain,3.64M,52,4.4% of tonnage | 117 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Honduras,2.89M,25,3.5% of tonnage | 56 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Egypt,2.11M,18,2.5% of tonnage | 126 shipments
ORIGIN_COUNTRIES,"Aggregates & Stone (HS25, HS68)",Peru,1.67M,46,2.0% of tonnage | 31 shipments
,,,,,
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",Bulk Carrier,53.34M,,"64.2% of tonnage | 2,232 shipments"
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",General Cargo,2.79M,,3.4% of tonnage | 263 shipments
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",Tanker,320.6K,,0.4% of tonnage | 34 shipments
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",RoRo,213.2K,,0.3% of tonnage | 161 shipments
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",LPG/LNG Carrier,95.0K,,0.1% of tonnage | 5 shipments
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",Container,979.9,,0.0% of tonnage | 18 shipments
VESSEL_TYPES,"Aggregates & Stone (HS25, HS68)",Reefer,0.1,,0.0% of tonnage | 1 shipments
,,,,,
,,,,,
